Title,Data Type,Latitude/Longitude,Last updated,Station ID,Water level (MLLW),Water level (MHHW),Event
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-10 03:42:00,8726384,2.287,0.112,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-25 17:00:00,8726384,2.3,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 17:06:00,8726384,1.791,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-26 22:30:00,8726384,2.162,-0.013,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-26 15:42:00,8726384,1.007,-1.168,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-28 21:24:00,8726384,2.257,0.082,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-06 23:12:00,8726384,2.047,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 21:12:00,8726384,2.831,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-04 08:12:00,8726384,3.52,,Debby
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-12 05:42:00,8726384,2.999,0.823,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-14 19:54:00,8726384,1.706,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-07 10:18:00,8726384,,-0.892,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-17 08:54:00,8726384,3.402,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-09 12:18:00,8726384,2.379,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 10:48:00,8726384,0.965,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-21 17:36:00,8726384,2.27,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-15 02:42:00,8726384,1.562,-0.614,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-28 20:30:00,8726384,2.073,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-22 02:00:00,8726384,3.146,0.971,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-30 20:42:00,8726384,2.477,0.302,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-31 00:42:00,8726384,1.696,-0.479,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-23 04:42:00,8726384,2.703,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-27 11:12:00,8726384,0.591,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-13 23:24:00,8726384,2.431,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-13 10:00:00,8726384,2.759,0.584,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-18 21:30:00,8726384,1.696,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-07 11:24:00,8726384,1.522,-0.653,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-19 04:36:00,8726384,0.341,-1.834,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-08 07:06:00,8726384,1.752,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-25 06:54:00,8726384,3.084,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-31 10:36:00,8726384,2.375,0.2,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-04 16:00:00,8726384,1.962,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-25 20:30:00,8726384,3.061,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-30 04:12:00,8726384,0.925,-1.25,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-15 14:12:00,8726384,1.742,-0.433,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-08 14:12:00,8726384,2.667,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-06 06:00:00,8726384,2.251,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-04 19:54:00,8726384,2.303,0.128,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-12 03:42:00,8726384,2.51,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-19 18:36:00,8726384,0.61,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-25 08:48:00,8726384,2.264,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-22 07:42:00,8726384,0.709,-1.467,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-23 07:00:00,8726384,1.617,,Non-hurricane
